frequency HVSR HVSR+1STD HVSR-1STD
0.0052556 1.375 1.601 1.148
0.00573128 1.377 1.604 1.150
0.00625 1.379 1.608 1.150
0.00681567 1.382 1.606 1.157
0.00743254 1.385 1.610 1.161
0.00810525 1.384 1.599 1.168
0.00883883 1.378 1.585 1.172
0.00963882 1.377 1.582 1.171
0.0105112 1.372 1.577 1.168
0.0114626 1.357 1.560 1.155
0.0125 1.341 1.540 1.142
0.0136313 1.325 1.526 1.123
0.0148651 1.292 1.490 1.093
0.0162105 1.253 1.450 1.056
0.0176777 1.218 1.410 1.026
0.0192776 1.186 1.354 1.017
0.0210224 1.155 1.298 1.013
0.0229251 1.125 1.253 0.998
0.025 1.066 1.177 0.955
0.0272627 0.994 1.082 0.906
0.0297302 0.940 1.022 0.858
0.032421 0.906 1.000 0.811
0.0353553 0.859 0.956 0.762
0.0385553 0.839 0.938 0.741
0.0420448 0.841 0.933 0.748
0.0458502 0.837 0.930 0.745
0.05 0.843 0.936 0.751
0.0545254 0.856 0.947 0.764
0.0594604 0.867 0.960 0.773
0.064842 0.870 0.964 0.775
0.0707107 0.833 0.919 0.747
0.0771105 0.775 0.843 0.707
0.0840896 0.737 0.789 0.685
0.0917004 0.729 0.773 0.684
0.1 0.720 0.764 0.676
0.109051 0.716 0.762 0.670
0.118921 0.719 0.763 0.675
0.129684 0.716 0.757 0.675
0.141421 0.711 0.755 0.667
0.154221 0.715 0.763 0.666
0.168179 0.725 0.777 0.674
0.183401 0.733 0.788 0.679
0.2 0.737 0.796 0.678
0.218102 0.739 0.803 0.675
0.237841 0.741 0.810 0.672
0.259368 0.754 0.828 0.680
0.282843 0.788 0.866 0.710
0.308442 0.821 0.900 0.743
0.336359 0.823 0.903 0.743
0.366802 0.811 0.905 0.717
0.4 0.825 0.932 0.718
0.436203 0.858 0.967 0.749
0.475683 0.898 1.006 0.790
0.518736 0.937 1.047 0.828
0.565685 0.926 1.033 0.820
0.616884 0.859 0.951 0.767
0.672717 0.808 0.881 0.736
0.733603 0.786 0.837 0.735
0.8 0.779 0.810 0.748
0.872406 0.768 0.795 0.741
0.951366 0.756 0.785 0.728
1.03747 0.760 0.792 0.728
1.13137 0.773 0.810 0.737
1.23377 0.782 0.818 0.747
1.34543 0.785 0.823 0.747
1.46721 0.782 0.823 0.741
1.6 0.788 0.833 0.743
1.74481 0.797 0.849 0.746
1.90273 0.797 0.852 0.742
2.07494 0.797 0.850 0.744
2.26274 0.807 0.857 0.757
2.46754 0.817 0.866 0.768
2.69087 0.823 0.869 0.777
2.93441 0.830 0.874 0.785
3.2 0.833 0.874 0.792
3.48962 0.843 0.878 0.809
3.80546 0.858 0.891 0.824
4.14989 0.870 0.902 0.838
4.52548 0.875 0.906 0.844
4.93507 0.889 0.927 0.851
5.38174 0.921 0.970 0.873
5.86883 0.946 1.005 0.886
6.4 0.974 1.045 0.902
6.97925 0.987 1.064 0.909
7.61093 1.004 1.085 0.923
8.29977 1.033 1.115 0.950
9.05097 1.027 1.103 0.950
